StartNode,EndNode,Cost,Lower,Upper
Canada,USA,2677.5,0,2976.6
SaudiArabia,YanbuEWP,990,0,605
AbqaiqEWP,YanbuEWP,990,0,0
SuMedSouth,SuMedNorth,223.5,0,55
TPPWest,TPPEast,90,0,55
Mexico,USA,1486,0,10000
SaudiArabia,NorthHormuz,740,0,10000
Nigeria,USA,13640,0,10000
Venezuela,USA,3900,0,10000
Iraq,NorthHormuz,1212,0,10000
Iraq,AbqaiqEWP,400,0,10000
Angola,USA,15774,0,10000
Colombia,USA,3432,0,10000
Colombia,PanamaCanalWest,712,0,10000
Algeria,StraitofGibraltarEast,614,0,10000
Russia,DanishStraitsEast,1534,0,10000
Russia,TurkishStraitsNorth,998,0,10000
Brazil,USA,8160,0,10000
Ecuador,USA,8000,0,10000
Ecuador,PanamaCanalWest,1178,0,10000
Ecuador,TPPWest,1126,0,10000
Kuwait,NorthHormuz,1164,0,10000
Kuwait,AbqaiqEWP,424,0,10000
NorthHormuz,SouthHormuz,0,0,10000
SouthHormuz,USA,28798,0,10000
SouthHormuz,StraitofBabelMandebSouth,3780,0,10000
SouthHormuz,StraitofMalaccaWest,7404,0,10000
SouthHormuz,LombokandMakassarStraits,9664,0,10000
StraitofMalaccaWest,StraitofMalaccaEast,0,0,10000
StraitofMalaccaEast,USA,17376,0,10000
StraitofBabelMandebNorth,SuezCanalSouth,2800,0,10000
StraitofBabelMandebNorth,SuMedSouth,2698,0,10000
StraitofBabelMandebSouth,StraitofBabelMandebNorth,0,0,10000
StraitofBabelMandebNorth,StraitofBabelMandebSouth,0,0,10000
SuezCanalSouth,SuezCanalNorth,0,0,10000
SuezCanalNorth,StraitofGibraltarEast,4600,0,10000
StraitofGibraltarEast,StraitofGibraltarWest,0,0,10000
TurkishStraitsNorth,TurkishStraitsSouth,0,0,10000
TurkishStraitsSouth,StraitofGibraltarEast,4000,0,10000
PanamaCanalWest,PanamaCanalEast,0,0,10000
PanamaCanalEast,USA,3348,0,10000
DanishStraitsEast,DanishStraitsWest,0,0,10000
DanishStraitsWest,USA,9774,0,10000
LombokandMakassarStraits,USA,18186,0,10000
StraitofGibraltarWest,USA,11200,0,10000
YanbuEWP,SuezCanalSouth,1776,0,10000
YanbuEWP,SuMedSouth,1698,0,10000
SuMedNorth,StraitofGibraltarEast,4600,0,10000
YanbuEWP,StraitofBabelMandebNorth,1026,0,10000
StraitofBabelMandebSouth,USA,27732,0,10000
Start,Canada,0,0,2976.6
Start,Mexico,0,0,1325.5
Start,SaudiArabia,0,0,1314.5
Start,Nigeria,0,0,898.7
Start,Venezuela,0,0,1038.4
Start,Iraq,0,0,506
Start,Angola,0,0,380.6
Start,Colombia,0,0,464.2
Start,Algeria,0,0,393.8
Start,Russia,0,0,683.1
Start,Brazil,0,0,273.9
Start,Ecuador,0,0,211.2
Start,Kuwait,0,0,210.1
USA,Start,0,9706,9706
