StartNode,EndNode,Cost,Lower,Upper
Canada,USA,26.775,0,5953.2
SaudiArabia,YanbuEWP,9.9,0,1210
AbqaiqEWP,YanbuEWP,9.9,0,0
SuMedSouth,SuMedNorth,2.235,0,110
TPPWest,TPPEast,0.9,0,110
Mexico,USA,14.86,0,20000
SaudiArabia,NorthHormuz,7.4,0,20000
Nigeria,USA,136.4,0,20000
Venezuela,USA,39,0,20000
Iraq,NorthHormuz,12.12,0,20000
Iraq,AbqaiqEWP,4,0,20000
Angola,USA,157.74,0,20000
Colombia,USA,34.32,0,20000
Colombia,PanamaCanalWest,7.12,0,20000
Algeria,StraitofGibraltarEast,6.14,0,20000
Russia,DanishStraitsEast,15.34,0,20000
Russia,TurkishStraitsNorth,9.98,0,20000
Brazil,USA,81.6,0,20000
Ecuador,USA,80,0,20000
Ecuador,PanamaCanalWest,11.78,0,20000
Ecuador,TPPWest,11.26,0,20000
Kuwait,NorthHormuz,11.64,0,20000
Kuwait,AbqaiqEWP,4.24,0,20000
NorthHormuz,SouthHormuz,0,0,20000
SouthHormuz,USA,287.98,0,20000
SouthHormuz,StraitofBabelMandebSouth,37.8,0,20000
SouthHormuz,StraitofMalaccaWest,74.04,0,20000
SouthHormuz,LombokandMakassarStraits,96.64,0,20000
StraitofMalaccaWest,StraitofMalaccaEast,0,0,20000
StraitofMalaccaEast,USA,173.76,0,20000
StraitofBabelMandebNorth,SuezCanalSouth,28,0,20000
StraitofBabelMandebNorth,SuMedSouth,26.98,0,20000
StraitofBabelMandebSouth,StraitofBabelMandebNorth,0,0,20000
StraitofBabelMandebNorth,StraitofBabelMandebSouth,0,0,20000
SuezCanalSouth,SuezCanalNorth,0,0,20000
SuezCanalNorth,StraitofGibraltarEast,46,0,20000
StraitofGibraltarEast,StraitofGibraltarWest,0,0,20000
TurkishStraitsNorth,TurkishStraitsSouth,0,0,20000
TurkishStraitsSouth,StraitofGibraltarEast,40,0,20000
PanamaCanalWest,PanamaCanalEast,0,0,20000
PanamaCanalEast,USA,33.48,0,20000
DanishStraitsEast,DanishStraitsWest,0,0,20000
DanishStraitsWest,USA,97.74,0,20000
LombokandMakassarStraits,USA,181.86,0,20000
StraitofGibraltarWest,USA,112,0,20000
YanbuEWP,SuezCanalSouth,17.76,0,20000
YanbuEWP,SuMedSouth,16.98,0,20000
SuMedNorth,StraitofGibraltarEast,46,0,20000
YanbuEWP,StraitofBabelMandebNorth,10.26,0,20000
StraitofBabelMandebSouth,USA,277.32,0,20000
Start,Canada,0,0,5953.2
Start,Mexico,0,0,2651
Start,SaudiArabia,0,0,2629
Start,Nigeria,0,0,1797.4
Start,Venezuela,0,0,2076.8
Start,Iraq,0,0,1012
Start,Angola,0,0,761.2
Start,Colombia,0,0,928.4
Start,Algeria,0,0,787.6
Start,Russia,0,0,1366.2
Start,Brazil,0,0,547.8
Start,Ecuador,0,0,422.4
Start,Kuwait,0,0,420.2
USA,Start,0,9706,19412
